ROWNUM;STATION;X;Y;LINE;STATUS;VESTIBULE;MODE_EVEN;MODE_ODD;BPA_NUM;ESC_DATE_CHANGE;ESC_TYPE;ESC_HEIGHT;ESC_NUM;BPA_TYPE;GLOBALID;
454;"Крылатское";"37,40862065";"55,75766047";"Арбатско-Покровская";"Действующая";"Крылатское";"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-40";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-40";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312008";
455;"Крылатское";"37,40732144";"55,75735295";"Арбатско-Покровская";"Действующая";"Крылатское";"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-40";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-40";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312009";
456;"Крылатское";"37,4086047";"55,75814196";"Арбатско-Покровская";"Действующая";"Крылатское";"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 6-01-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-47-00. по второму пути: 1-19-30";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 6-01-00. по второму пути: 5-52-00; последний поезд по первому пути: 1-47-00. по второму пути: 1-19-30";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312010";
457;"Ленинский проспект";"37,58738722";"55,70841343";"Калужско-Рижская";"Действующая";"Ленинский проспект";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-41-20. по второму пути: 6-00-00; последний поезд по первому пути: 1-24-00. по второму пути: 1-37-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-39-00. по второму пути: 6-00-00; последний поезд по первому пути: 1-24-00. по второму пути: 1-37-00";"2";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 2 малофункциональные (билеты на 1 и 2 поездки)";"85312029";
458;"Красногвардейская";"37,74635949";"55,61432937";"Замоскворецкая";"Действующая";"Красногвардейская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-43-00. по второму пути: 6-01-30; последний поезд по первому пути: 1-03-00. по второму пути: 1-55-30";"в нечетные дни открытие: 5-50. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-43-05. по второму пути: 5-52-30; последний поезд по первому пути: 1-03-00. по второму пути: 1-55-00";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85311993";
459;"Красногвардейская";"37,74267347";"55,61345206";"Замоскворецкая";"Действующая";"Красногвардейская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-43-00. по второму пути: 6-01-30; последний поезд по первому пути: 1-03-00. по второму пути: 1-55-30";"в нечетные дни открытие: 5-50. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-43-05. по второму пути: 5-52-30; последний поезд по первому пути: 1-03-00. по второму пути: 1-55-00";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85311994";
460;"Красногвардейская";"37,74287572";"55,61402257";"Замоскворецкая";"Действующая";"Красногвардейская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-43-00. по второму пути: 6-01-30; последний поезд по первому пути: 1-03-00. по второму пути: 1-55-30";"в нечетные дни открытие: 5-50. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-43-05. по второму пути: 5-52-30; последний поезд по первому пути: 1-03-00. по второму пути: 1-55-00";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85311995";
461;"Красногвардейская";"37,74298719";"55,61346167";"Замоскворецкая";"Действующая";"Красногвардейская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-43-00. по второму пути: 6-01-30; последний поезд по первому пути: 1-03-00. по второму пути: 1-55-30";"в нечетные дни открытие: 5-50. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-43-05. по второму пути: 5-52-30; последний поезд по первому пути: 1-03-00. по второму пути: 1-55-00";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85311996";
462;"Красногвардейская";"37,74256585";"55,6141191";"Замоскворецкая";"Действующая";"Красногвардейская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-43-00. по второму пути: 6-01-30; последний поезд по первому пути: 1-03-00. по второму пути: 1-55-30";"в нечетные дни открытие: 5-50. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-43-05. по второму пути: 5-52-30; последний поезд по первому пути: 1-03-00. по второму пути: 1-55-00";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85311997";
463;"Краснопресненская";"37,57712911";"55,76024487";"Кольцевая";"Действующая";"Краснопресненская";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-50; 1й поезд по 1му пути: 6-00-00. по второму пути: 5-55-00; последний поезд по первому пути: 1-21-00. по второму пути: 1-18-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-50; 1й поезд по 1му пути: 5-41-20. по второму пути: 5-58-00; последний поезд по первому пути: 1-29-00. по второму пути: 1-12-00";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85311998";
464;"Красносельская";"37,66609759";"55,78007357";"Сокольническая";"Действующая";"Красносельская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-39-00. по второму пути: 5-40-50; последний поезд по первому пути: 1-14-00. по второму пути: 1-32-30";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-39-00. по второму пути: 5-40-50; последний поезд по первому пути: 1-14-00. по второму пути: 1-32-30";"0";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 0 малофункциональные (билеты на 1 и 2 поездки)";"85311999";
465;"Красные ворота";"37,64780124";"55,76836658";"Сокольническая";"Действующая";"Красные ворота";"в четные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-35; 1й поезд по 1му пути: 5-33-50. по второму пути: 6-02-30; последний поезд по первому пути: 1-18-00. по второму пути: 1-29-00";"в нечетные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-35; 1й поезд по 1му пути: 5-33-50. по второму пути: 6-02-30; последний поезд по первому пути: 1-18-00. по второму пути: 1-29-00";"0";"04.2013-03.2014";"до замены ЭМ-4. после замены ЭС03";"18,90";"3/3";"0 полнофункциональные (все типы билетов); 0 малофункциональные (билеты на 1 и 2 поездки)";"85312000";
466;"Красные ворота";"37,65016808";"55,7696686";"Сокольническая";"Действующая";"Красные ворота";"в четные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-35";"в нечетные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-35";"5";"04.2013-03.2014";"до замены ЭМ-1М. после замены ЭС03";"11,50";"3/3";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312001";
