ROWNUM;STATION;X;Y;LINE;STATUS;VESTIBULE;MODE_EVEN;MODE_ODD;BPA_NUM;ESC_DATE_CHANGE;ESC_TYPE;ESC_HEIGHT;ESC_NUM;BPA_TYPE;GLOBALID;
1;"Первомайская";"37,79892774";"55,79566675";"Арбатско-Покровская";"Действующая";"Первомайская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05; 1й поезд по 1му пути: 5-42-00. по второму пути: 6-00-00; последний поезд по первому пути: 1-05-00. по второму пути: 2-01-00";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05; 1й поезд по 1му пути: 5-58-00. по второму пути: 6-05-00; последний поезд по первому пути: 1-05-00. по второму пути: 2-01-00";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312138";
2;"Первомайская";"37,79905142";"55,79368192";"Арбатско-Покровская";"Действующая";"Первомайская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05; 1й поезд по 1му пути: 5-42-00. по второму пути: 6-00-00; последний поезд по первому пути: 1-05-00. по второму пути: 2-01-00";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05; 1й поезд по 1му пути: 5-58-00. по второму пути: 6-05-00; последний поезд по первому пути: 1-05-00. по второму пути: 2-01-00";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312139";
3;"Первомайская";"37,79972847";"55,79567905";"Арбатско-Покровская";"Действующая";"Первомайская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312140";
4;"Первомайская";"37,79978072";"55,79370434";"Арбатско-Покровская";"Действующая";"Первомайская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312141";
5;"Перово";"37,78429764";"55,75112912";"Калининская";"Действующая";"Перово";"в четные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"в нечетные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312142";
6;"Перово";"37,78457602";"55,75068504";"Калининская";"Действующая";"Перово";"в четные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"в нечетные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312143";
7;"Перово";"37,7848856";"55,75121471";"Калининская";"Действующая";"Перово";"в четные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"в нечетные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312144";
8;"Перово";"37,78814138";"55,75181641";"Калининская";"Действующая";"Перово";"в четные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"в нечетные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312145";
9;"Перово";"37,78838473";"55,75130132";"Калининская";"Действующая";"Перово";"в четные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30";"в нечетные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312146";
10;"Петровско-Разумовская";"37,57551062";"55,83662354";"Серпуховско-Тимирязевская";"Действующая";"Петровско-Разумовская";"в четные дни открытие: 5-20. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 6-07-00. по второму пути: 5-32-00; последний поезд по первому пути: 1-49-30. по второму пути: 1-14-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 6-07-00. по второму пути: 5-31-00; последний поезд по первому пути: 1-49-30. по второму пути: 1-14-00";"9";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 9 малофункциональные (билеты на 1 и 2 поездки)";"85312147";
11;"Печатники";"37,72780986";"55,69257919";"Люблинская";"Действующая";"Печатники";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-34; 1й поезд по 1му пути: 6-00-30. по второму пути: 5-34-25; последний поезд по первому пути: 1-28-30. по второму пути: 1-21-40";"в нечетные дни открытие: 1-14-30. закрытие на вход: 1-00. закрытие на выход: 1-34; 1й поезд по 1му пути: 6-00-00. по второму пути: 5-33-10; последний поезд по первому пути: 1-28-30. по второму пути: 1-21-40";"7";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 7 малофункциональные (билеты на 1 и 2 поездки)";"85312148";
12;"Пионерская";"37,46658953";"55,73597824";"Филевская";"Действующая";"Пионерская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-25; 1й поезд по 1му пути: 5-47-00. по второму пути: 5-55-40; последний поезд по первому пути: 1-22-00. по второму пути: 1-11-00";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-25; 1й поезд по 1му пути: 5-47-30. по второму пути: 5-55-30; последний поезд по первому пути: 1-23-10. по второму пути: 1-06-00";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312153";
13;"Пионерская";"37,46755445";"55,73614079";"Филевская";"Действующая";"Пионерская";"в четные дни открытие: 7-00. закрытие на вход: 22-00. закрытие на выход: 22-00";"в нечетные дни открытие: 7-00. закрытие на вход: 22-00. закрытие на выход: 22-00";"2";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 2 малофункциональные (билеты на 1 и 2 поездки)";"85312154";
14;"Планерная";"37,43613001";"55,86168035";"Таганско-Краснопресненская";"Действующая";"Планерная";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 2-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 2-00";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312155";
15;"Планерная";"37,43680499";"55,85973432";"Таганско-Краснопресненская";"Действующая";"Планерная";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-37-00. по второму пути: 6-01-00; последний поезд по первому пути: 1-03-00. по второму пути: 1-52-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-34-10. по второму пути: 6-01-00; последний поезд по первому пути: 1-03-00. по второму пути: 1-52-00";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312156";
16;"Площадь Ильича";"37,68072713";"55,74717466";"Калининская";"Действующая";"Площадь Ильича";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-44-30. по второму пути: 5-45-50; последний поезд по первому пути: 1-19-30. по второму пути: 1-08-00";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-44-30. по второму пути: 5-45-50; последний поезд по первому пути: 1-19-30. по второму пути: 1-08-00";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312157";
17;"Театральная";"37,61960573";"55,75660529";"Замоскворецкая";"Действующая";"Театральная";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-53; 1й поезд по 1му пути: 5-46-30. по второму пути: 5-47-00; последний поезд по первому пути: 1-24-00. по второму пути: 1-41-00";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-53; 1й поезд по 1му пути: 5-49-30. по второму пути: 5-47-00; последний поезд по первому пути: 1-24-00. по второму пути: 1-41-00";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312158";
18;"Площадь Революции";"37,62341411";"55,7565205";"Арбатско-Покровская";"Действующая";"Площадь Революции";"в четные дни открытие: 6-30. закрытие на вход: 1-00. закрытие на выход: 22-30";"в нечетные дни открытие: 6-30. закрытие на вход: 1-00. закрытие на выход: 22-30";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312159";
19;"Полежаевская";"37,51704334";"55,77746076";"Таганско-Краснопресненская";"Действующая";"Полежаевская";"в четные дни открытие: 5-45. закрытие на вход: 1-00. закрытие на выход: 1-45";"в нечетные дни открытие: 5-45. закрытие на вход: 1-00. закрытие на выход: 1-45";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312160";
20;"Полежаевская";"37,51707189";"55,77762876";"Таганско-Краснопресненская";"Действующая";"Полежаевская";"в четные дни открытие: 5-45. закрытие на вход: 1-00. закрытие на выход: 1-45";"в нечетные дни открытие: 5-45. закрытие на вход: 1-00. закрытие на выход: 1-45";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312161";
21;"Охотный ряд";"37,61768711";"55,75612198";"Сокольническая";"Действующая";"Охотный ряд";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-38; 1й поезд по 1му пути: 5-39-20. по второму пути: 5-57-00; последний поезд по первому пути: 1-23-00. по второму пути: 1-24-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-38; 1й поезд по 1му пути: 5-39-20. по второму пути: 5-57-00; последний поезд по первому пути: 1-23-00. по второму пути: 1-24-00";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312126";
22;"Охотный ряд";"37,6156742";"55,75688132";"Сокольническая";"Действующая";"Охотный ряд";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-38; 1й поезд по 1му пути: 5-39-20. по второму пути: 5-57-00; последний поезд по первому пути: 1-23-00. по второму пути: 1-24-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-38; 1й поезд по 1му пути: 5-39-20. по второму пути: 5-57-00; последний поезд по первому пути: 1-23-00. по второму пути: 1-24-00";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312127";
23;"Павелецкая";"37,63629498";"55,73147211";"Замоскворецкая";"Действующая";"Павелецкая";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-44-00. по второму пути: 5-48-00; последний поезд по первому пути: 1-28-30. по второму пути: 1-30-30";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-44-00. по второму пути: 5-48-00; последний поезд по первому пути: 1-28-00. по второму пути: 1-30-00";"11";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"3 полнофункциональные (все типы билетов); 8 малофункциональные (билеты на 1 и 2 поездки)";"85312128";
24;"Павелецкая";"37,63869678";"55,72979183";"Замоскворецкая";"Действующая";"Павелецкая";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-44-00. по второму пути: 5-48-00; последний поезд по первому пути: 1-28-30. по второму пути: 1-30-30";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-44-00. по второму пути: 5-48-00; последний поезд по первому пути: 1-28-00. по второму пути: 1-30-00";"11";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"3 полнофункциональные (все типы билетов); 8 малофункциональные (билеты на 1 и 2 поездки)";"85312129";
25;"Парк культуры";"37,59309609";"55,73528017";"Сокольническая";"Действующая";"Парк культуры";"в четные дни открытие: 6-30. закрытие на вход: 22-30. закрытие на выход: 22-30; 1й поезд по 1му пути: 5-45-00. по второму пути: 5-51-30; последний поезд по первому пути: 1-28-00. по второму пути: 1-18-30";"в нечетные дни открытие: 6-30. закрытие на вход: 22-30. закрытие на выход: 22-30; 1й поезд по 1му пути: 5-45-00. по второму пути: 5-51-30; последний поезд по первому пути: 1-28-00. по второму пути: 1-18-30";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312130";
26;"Полянка";"37,61859564";"55,73685353";"Серпуховско-Тимирязевская";"Действующая";"Полянка";"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-48-00. по второму пути: 5-51-00; последний поезд по первому пути: 1-31-30. по второму пути: 1-32-00";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-48-00. по второму пути: 5-51-00; последний поезд по первому пути: 1-31-30. по второму пути: 1-32-00";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312168";
27;"Пражская";"37,60407441";"55,61074533";"Серпуховско-Тимирязевская";"Действующая";"Пражская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 2-00";"7";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 7 малофункциональные (билеты на 1 и 2 поездки)";"85312169";
28;"Пражская";"37,60426606";"55,61362405";"Серпуховско-Тимирязевская";"Действующая";"Пражская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 2-00";"7";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 7 малофункциональные (билеты на 1 и 2 поездки)";"85312170";
29;"Пражская";"37,60437014";"55,61152812";"Серпуховско-Тимирязевская";"Действующая";"Пражская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 2-00";"7";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 7 малофункциональные (билеты на 1 и 2 поездки)";"85312171";
30;"Пражская";"37,60436362";"55,61128212";"Серпуховско-Тимирязевская";"Действующая";"Пражская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 2-00";"7";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 7 малофункциональные (билеты на 1 и 2 поездки)";"85312172";
31;"Серпуховская";"37,6247936";"55,72660664";"Серпуховско-Тимирязевская";"Действующая";"Серпуховская";"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-53-00; последний поезд по первому пути: 1-29-00. по второму пути: 1-34-40";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-53-00; последний поезд по первому пути: 1-29-00. по второму пути: 1-34-40";"0";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 0 малофункциональные (билеты на 1 и 2 поездки)";"85312227";
32;"Пражская";"37,60272776";"55,6108634";"Серпуховско-Тимирязевская";"Действующая";"Пражская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-43-00. по второму пути: 5-47-00; последний поезд по первому пути: 1-10-00. по второму пути: 1-53-40";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-50-00. по второму пути: 5-45-00; последний поезд по первому пути: 1-10-00. по второму пути: 1-53-40";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312175";
33;"Пражская";"37,60315622";"55,61168362";"Серпуховско-Тимирязевская";"Действующая";"Пражская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-43-00. по второму пути: 5-47-00; последний поезд по первому пути: 1-10-00. по второму пути: 1-53-40";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-50-00. по второму пути: 5-45-00; последний поезд по первому пути: 1-10-00. по второму пути: 1-53-40";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312176";
34;"Преображенская площадь";"37,71340146";"55,79626201";"Сокольническая";"Действующая";"Преображенская площадь";"в четные дни открытие: 6-30. закрытие на вход: 23-00. закрытие на выход: 23-00";"в нечетные дни открытие: 6-30. закрытие на вход: 23-00. закрытие на выход: 23-00";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312177";
35;"Проспект Вернадского";"37,50458562";"55,67660649";"Сокольническая";"Действующая";"Проспект Вернадского";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-45";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-45";"7";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 7 малофункциональные (билеты на 1 и 2 поездки)";"85312189";
36;"Проспект Вернадского";"37,5046874";"55,67665196";"Сокольническая";"Действующая";"Проспект Вернадского";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-45";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-45";"7";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 7 малофункциональные (билеты на 1 и 2 поездки)";"85312190";
37;"Проспект Вернадского";"37,50507477";"55,67636503";"Сокольническая";"Действующая";"Проспект Вернадского";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-45; 1й поезд по 1му пути: 5-58-30. по второму пути: 5-47-30; последний поезд по первому пути: 1-41-00. по второму пути: 1-05-30";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-45; 1й поезд по 1му пути: 5-58-30. по второму пути: 5-47-30; последний поезд по первому пути: 1-41-00. по второму пути: 1-05-30";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312191";
38;"Проспект Вернадского";"37,50496789";"55,67631229";"Сокольническая";"Действующая";"Проспект Вернадского";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-45; 1й поезд по 1му пути: 5-58-30. по второму пути: 5-47-30; последний поезд по первому пути: 1-41-00. по второму пути: 1-05-30";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-45; 1й поезд по 1му пути: 5-58-30. по второму пути: 5-47-30; последний поезд по первому пути: 1-41-00. по второму пути: 1-05-30";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312192";
39;"Проспект Вернадского";"37,50524239";"55,67588661";"Сокольническая";"Действующая";"Проспект Вернадского";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-45; 1й поезд по 1му пути: 5-58-30. по второму пути: 5-47-30; последний поезд по первому пути: 1-41-00. по второму пути: 1-05-30";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-45; 1й поезд по 1му пути: 5-58-30. по второму пути: 5-47-30; последний поезд по первому пути: 1-41-00. по второму пути: 1-05-30";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312193";
